cab_id,entropy,total_records,unique_locations,most_frequent_location,location_diversity,entropy_quartile,segment
enarwee,10.784475404474131,24263,4293,37.751_-122.395,0.17693607550591436,Q3,Medium Mobility
enekbl,10.640526509671629,23254,4104,37.751_-122.395,0.1764857658897394,Q2,Medium Mobility
enidmopt,10.278312301310189,20897,3949,37.752_-122.395,0.1889744939464995,Q1 (Low),Low Mobility (Routine)
enjubpl,11.072078248187788,22689,4712,37.752_-122.394,0.20767772929613468,Q4 (High),High Mobility (Explorer)
enkkand,10.43729970565765,29742,4104,37.752_-122.394,0.13798668549525922,Q1 (Low),Low Mobility (Routine)
enyenewl,9.716880304585908,2414,1154,37.788_-122.408,0.4780447390223695,Q1 (Low),Low Mobility (Routine)
enyonsn,10.828633851890235,29448,4535,37.752_-122.395,0.15400027166530833,Q3,High Mobility (Explorer)
eoccoirv,10.598535480736793,27750,4756,37.752_-122.395,0.17138738738738737,Q2,Medium Mobility
eoffrij,10.94705315901195,24793,4353,37.616_-122.386,0.17557375065542694,Q4 (High),High Mobility (Explorer)
eoivqued,10.436063660801036,19722,4344,37.616_-122.386,0.22026163675083663,Q1 (Low),Low Mobility (Routine)
eokracy,10.782239452459141,25027,4440,37.616_-122.386,0.17740839892915652,Q3,Medium Mobility
eolgug,10.769107412634515,20270,4032,37.751_-122.395,0.1989146521953626,Q3,Medium Mobility
eosluip,10.439785522403541,26402,3892,37.752_-122.395,0.1474130747670631,Q2,Low Mobility (Routine)
eotcue,4.453517450861829,59,31,37.751_-122.395,0.5254237288135594,Q1 (Low),Low Mobility (Routine)
eovsyt,10.860953368045672,23810,4366,37.751_-122.395,0.18336833263334734,Q4 (High),High Mobility (Explorer)
eoydba,10.711213556953966,12747,3857,37.786_-122.401,0.3025809994508512,Q3,Medium Mobility
epabcadu,10.803788241755461,28993,4459,37.785_-122.400,0.15379574380022765,Q3,Medium Mobility
epemvagu,10.801726925842559,25658,3963,37.777_-122.395,0.15445475095486788,Q3,Medium Mobility
epkiapme,10.885898420787385,25286,4372,37.616_-122.386,0.17290200110733212,Q4 (High),High Mobility (Explorer)
equioc,10.334275121088481,29997,4123,37.752_-122.394,0.13744707804113745,Q1 (Low),Low Mobility (Routine)
equoaw,10.93723857031761,19206,3873,37.751_-122.395,0.20165573258356764,Q4 (High),High Mobility (Explorer)
erjboyni,10.836475243760871,20357,3654,37.756_-122.388,0.17949599646313308,Q3,High Mobility (Explorer)
erjcrey,10.745334753055566,22419,4073,37.778_-122.487,0.18167625674650967,Q3,Medium Mobility
erjtail,10.523038227064168,20006,3999,37.792_-122.411,0.19989003299010297,Q2,Medium Mobility
erulghiv,10.835867658832642,28069,4351,37.616_-122.386,0.1550108660800171,Q3,High Mobility (Explorer)
erwumu,10.489101055164456,24294,4062,37.752_-122.394,0.16720177821684368,Q2,Low Mobility (Routine)
eryeig,10.971868536653542,26907,4785,37.752_-122.395,0.17783476418775784,Q4 (High),High Mobility (Explorer)
eshria,10.00789657644383,21822,3810,37.752_-122.394,0.17459444597195492,Q1 (Low),Low Mobility (Routine)
eshroa,10.784078433252377,26413,4221,37.752_-122.395,0.15980767046530117,Q3,Medium Mobility
esnddceb,10.672612508190598,25903,4145,37.751_-122.395,0.16002007489479983,Q2,Medium Mobility
esudcejo,10.764992368218547,19865,4007,37.782_-122.412,0.20171155298263277,Q3,Medium Mobility
etalrab,10.560506328604792,25368,4820,37.616_-122.386,0.19000315357931252,Q2,Medium Mobility
etirnfew,9.422043452321379,4779,1908,37.751_-122.395,0.3992467043314501,Q1 (Low),Low Mobility (Routine)
etnads,10.85926087761906,27392,4534,37.752_-122.394,0.16552278037383178,Q4 (High),High Mobility (Explorer)
eufdod,10.914279010169857,18244,3929,37.639_-122.454,0.21535847401885552,Q4 (High),High Mobility (Explorer)
evbacclu,10.962498891175517,25335,4430,37.752_-122.395,0.17485691730807185,Q4 (High),High Mobility (Explorer)
evdyffu,10.74910680253815,23587,4437,37.751_-122.394,0.18811209564590664,Q3,Medium Mobility
evfler,10.452280940949805,13573,3422,37.616_-122.386,0.25211817579017165,Q2,Low Mobility (Routine)
evijcey,10.248133058952023,11542,2920,37.752_-122.394,0.25298908334777337,Q1 (Low),Low Mobility (Routine)
evjoko,10.948810571418253,25995,4328,37.726_-122.414,0.16649355645316408,Q4 (High),High Mobility (Explorer)
evmaja,10.504747621488015,9145,2690,37.752_-122.395,0.29414980863860035,Q2,Low Mobility (Routine)
evtitdea,10.752499914696772,25562,4103,37.752_-122.395,0.16051169705030904,Q3,Medium Mobility
ewbglo,10.960749828273006,22882,4850,37.616_-122.386,0.21195699676601695,Q4 (High),High Mobility (Explorer)
ewedkl,9.218939320706717,17930,3120,37.752_-122.394,0.17401003904071388,Q1 (Low),Low Mobility (Routine)
ewufri,10.954872085991898,25598,4313,37.794_-122.397,0.168489725759825,Q4 (High),High Mobility (Explorer)
ewvnil,10.984394460138724,20217,4228,37.752_-122.394,0.20913092941583816,Q4 (High),High Mobility (Explorer)
exskafvo,10.936901265020179,25773,4503,37.778_-122.427,0.1747177278547317,Q4 (High),High Mobility (Explorer)
eybmij,10.945503277169415,23849,4508,37.751_-122.395,0.18902260052832404,Q4 (High),High Mobility (Explorer)
eybyay,10.701953281665688,27587,4563,37.672_-122.483,0.16540399463515423,Q3,Medium Mobility
eydadgio,9.936689616989787,3057,1487,37.786_-122.411,0.4864245992803402,Q1 (Low),Low Mobility (Routine)
eytups,10.73715714762666,20774,4225,37.616_-122.386,0.20337922403003755,Q3,Medium Mobility
iacbyb,9.899847044064295,12819,2617,37.786_-122.410,0.20415008971058585,Q1 (Low),Low Mobility (Routine)
iackaw,10.701399121423101,25195,3924,37.751_-122.395,0.15574518753720976,Q3,Medium Mobility
iafbagci,10.370838232067058,20242,3586,37.791_-122.420,0.17715640746961764,Q1 (Low),Low Mobility (Routine)
